SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,NEM,XEM,02-04-2018 23:59,0.000323078,0.000227278,0.000242147,0.000313726,28549.40039,2823534
2,NEM,XEM,03-04-2018 23:59,0.000329676,0.000290773,0.00030875,0.000310273,20677.90039,2792457
3,NEM,XEM,04-04-2018 23:59,0.000318236,0.000250514,0.000310235,0.00027653,23550.19922,2488770
4,NEM,XEM,05-04-2018 23:59,0.000282632,0.000218265,0.000271524,0.000231932,26800.19922,2087388
5,NEM,XEM,06-04-2018 23:59,0.000298683,0.000229368,0.000232042,0.000288706,22511.5,2598354
6,NEM,XEM,07-04-2018 23:59,0.00028846,0.000233713,0.00028846,0.000240521,14437,2164689
7,NEM,XEM,08-04-2018 23:59,0.000258572,0.000223208,0.000245472,0.00022787,6932.850098,2050830
8,NEM,XEM,09-04-2018 23:59,0.00023903,0.000212816,0.000227618,0.000224182,10013.59961,2017638
9,NEM,XEM,10-04-2018 23:59,0.000226941,0.000167379,0.000224198,0.000174693,16846,1572237
10,NEM,XEM,11-04-2018 23:59,0.000191945,0.000143223,0.000174652,0.00016334,22845.90039,1470060
11,NEM,XEM,12-04-2018 23:59,0.000173412,0.000144346,0.000163328,0.000146415,5568.890137,1317735
12,NEM,XEM,13-04-2018 23:59,0.000154675,0.000123058,0.000146289,0.000139244,11803.09961,1253196
13,NEM,XEM,14-04-2018 23:59,0.000178481,0.000136852,0.000139351,0.000153411,14653.90039,1380699
14,NEM,XEM,15-04-2018 23:59,0.000171643,0.000145849,0.000155512,0.000154544,8196.099609,1390896
15,NEM,XEM,16-04-2018 23:59,0.000173837,0.000154602,0.000154602,0.00016348,5316.899902,1471320
16,NEM,XEM,17-04-2018 23:59,0.000171559,0.000159885,0.000167541,0.000167023,4556.290039,1503207
17,NEM,XEM,18-04-2018 23:59,0.000170014,0.000140929,0.000167001,0.000140929,9116.910156,1268361
18,NEM,XEM,19-04-2018 23:59,0.000160037,0.000136902,0.000141091,0.00014712,7192.890137,1324080
19,NEM,XEM,20-04-2018 23:59,0.000150252,0.000128413,0.000147129,0.00013269,6680.680176,1194210
20,NEM,XEM,21-04-2018 23:59,0.000148287,0.000129105,0.000132687,0.00013682,3911.72998,1231380
21,NEM,XEM,22-04-2018 23:59,0.000149464,0.000129475,0.000137013,0.00013836,2352.530029,1245240
22,NEM,XEM,23-04-2018 23:59,0.000147067,0.000132977,0.000138287,0.000137397,2116.939941,1236573
